timestamp,scenario_id,episode_id,physical_baseline_outcome,physical_collisions,shadow_outcome,shadow_stage,shadow_progress,context_samples,trusted_states,policy_decisions
62.4355,1,93,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,388,388,388
68.0277,1,93,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,388,388,388
118.3879,1,94,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,401,401,401
168.6282,1,94,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,401,401,401
70.9665,1,95,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,339,339,339
79.3982,1,95,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,339,339,339
823.5974,1,96,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,400,400,400
208.5985,1,97,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,396,396,396
159.9663,1,99,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,386,386,386
66.6874,1,100,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,412,412,412
73.5221,1,100,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,412,412,412
61.0829,1,101,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,366,366,366
77.8791,1,101,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,366,366,366
61.0003,1,102,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,396,396,396
123.4421,1,103,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,400,400,400
81.5780,1,104,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,367,367,367
63.1445,1,105,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,366,366,366
62.2570,1,106,"COLLISION_HUMAN",1,"RUNNING IN PARALLEL","CONTROLLED WAIT AT BLIND CORNER",0.5800,363,363,363
67.1732,1,106,"COLLISION_HUMAN",1,"TASK COMPLETED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,363,363,363
59.3810,1,107,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,367,367,367
74.7956,1,108,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,401,401,401
75.4362,1,109,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,410,410,410
67.3941,1,110,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,400,400,400
88.4620,1,111,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,399,399,399
141.0452,1,111,"COLLISION_HUMAN",1,"TASK COMPLETED — COLLISION AVOIDED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,399,399,399
93.7188,1,112,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,393,393,393
219.1033,1,112,"COLLISION_HUMAN",1,"TASK COMPLETED — COLLISION AVOIDED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,393,393,393
120.5325,1,113,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,392,392,392
65.3442,1,115,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,409,409,409
636.2118,1,115,"COLLISION_HUMAN",1,"TASK COMPLETED — COLLISION AVOIDED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,409,409,409
66.1820,1,116,"COLLISION_HUMAN",1,"WAITING FOR MAJOR UPDATE","CONTROLLED WAIT AT BLIND CORNER",0.5800,411,411,411
139.1516,1,116,"COLLISION_HUMAN",1,"TASK COMPLETED — COLLISION AVOIDED — PARCEL DELIVERED TO D2","VERIFY RELEASE COMPLETE",1.0000,411,411,411
